Label,Frequency
RGABDB,4
RGBCDA,3
RGBCCB,6
RGBCAD,3
RGBCAC,6
RGBCAA,6
RGADBB,5
RGABDD,4
RGABBD,3
RGABBB,3
RGBCDB,6
RGBCCD,2
RGBCCC,2
SFDBDD,6
RFBAAC,7
RFBAAD,5
RFBABC,4
RFBABD,4
RFBABB,6
SFDCDD,4
SFDCDB,4
SFDCBD,4
SFDDAC,4
SFDDAA,4
SFDDAB,4
SFDDBA,6
SFDBDC,6
SGCACC,5
SGCACA,5
SGCACB,5
SGCAAD,5
SGCABC,5
SGCABD,5
SGCBAC,5
SGCBAA,5
SGCBAB,5
SGCBBA,6
SGCBBB,12
SGBCCC,14
RFBACA,4
SGCCBB,5
SGCCAA,4
SGCACD,1
SGCBDB,5
SGCBDA,6
SGCBDC,6
SGCBBC,3
SGDABD,42
SGBCDC,6
SGBDCC,46
SGBCDD,35
SGDABB,40
SGDBAA,8
SHACCB,13
SHACDA,16
SHACDB,15
SHADCB,7
SHBDBA,3
SHBDBC,3
SHBDBD,3
SIACCB,3
SIDAAA,6
SIBCCD,1
SIBDDB,2
SIBDBD,2
SJBDDB,2
RNAACA,1
RNDAAD,2
RNADCA,1
RNACAD,1
RNACAB,1
RNACAA,1
RNAACC,1
RMBBDB,1
SMCDCB,2
RMBBDA,1
RMBBCB,1
RMBABC,2
RMBAAA,1
RMABBB,2
SMCDDC,2
RNDACB,2
RNDADA,2
RNDADB,1
RNDBCD,2
RNDDBA,1
RNDDBB,2
ROCCAA,1
ROCCAB,1
ROCADC,1
QPCACD,1
QPCADC,2
QPCADD,2
QPCBCC,1
QPCBCD,1
QPCBDC,2
QPCBDD,2
QPDACC,2
SMCDCD,2
SMCDCA,2
SKACCA,2
SKDAAA,2
SKDBCD,2
SKDBCB,2
SKDBCA,2
SKDABC,1
SKDAAD,2
SKDAAB,2
SKCBBB,2
SMCCBD,1
SKCBBA,2
SKCABC,1
SKCAAD,2
SKCAAB,2
SKCAAA,2
SKACCC,2
SKDBDD,2
SLCACC,2
SLCACD,1
SLDCAC,2
SLDCCA,1
SLDCCB,1
SLDCDA,1
SLDCDB,1
SLDCDD,1
SLDDCC,1
SLDDCD,1
SLDDDC,1
SLDDDD,2
SMCCCA,2
SMCCCB,2
SMCCDA,2
SMCCBC,2
QPDACD,5
PPABDB,7
QPDCAB,4
QPDCAD,4
QPDCCB,4
QPDCDA,4
QPDCDC,4
QPDCCD,4
PPBAAB,4
PPBAAA,4
PPABBB,4
PPABBA,4
PPABBC,3
PPABBD,3
PPABDA,3
PPABDD,4
QPDADC,1
SJBDDA,1
SKADDC,1
SKDBAC,1
SJBDBC,1
SJBDAD,1
SJBDAB,1
SJABCC,1
SJACAC,1
SJACAD,1
SJACAB,1
SJACBA,1
SJACBB,1
SJADAA,1
SJADBA,1
SJBDAA,1
SJADBB,1
SJBCAA,1
SJBACC,1
SJBACD,1
SJBADC,1
SJBADD,1
SJBBCC,1
SKDBDC,1
RNDBCC,1
RNCBBA,1
RNCBBB,1
RNCBBD,1
RNDAAC,1
RMBAAD,1
QODBDA,1
QPCDAB,1
SLCADC,1
SLCADD,1
SLCBCC,1
SLCDAB,1
SLCDBA,1
SLCDBB,1
SLCDBD,1
SMCCDB,1
SICBBB,10
SIADCC,3
SHBCDB,5
SHACCA,13
SGBDDB,13
SGBDDA,15
SGBDCB,14
SGBDCD,14
SGBCDB,10
SGBDCA,12
SIDBCB,2
SJCCBD,3
SIDBCA,1
SICADD,7
SICBCC,7
SICBCD,7
SICBDC,6
SICBDD,2
SICDBB,1
SIDCAA,1
SIDCAB,1
SIDADD,1
SICADA,2
SIDBAD,2
SIDBDA,1
SIDBDB,1
SJCACA,2
SJCACC,2
SJCCAA,2
SJCCAB,2
SJCCBA,2
SJCCBC,2
SICADC,9
SICABC,1
SICAAD,1
SHADCA,7
SHADAD,4
SHADBC,9
SHADBD,7
SHBCAC,2
SHBCAD,2
SHBCBC,2
SHBCDA,1
SHBDCA,1
SHBDCD,1
SHBDDC,1
SHDBBA,1
SHDBBB,1
SICAAA,1
SICAAC,1
SJCDAC,2
SHDACA,2
SICBCA,1
SHDADB,1
SHDADA,1
SHDACB,1
SHDACC,1
SHCBDB,1
SHCBDA,1
SHCBCB,1
SHCBCA,2
SHCADA,1
SHCACB,2
SHCACA,2
SGDBDB,2
SGDBDA,2
SGDBCB,3
SGDBCA,7
SGDADB,30
SICADB,5
SICBAC,1
SICBAD,1
SJCAAC,1
SIDBBD,1
SIDBBC,1
SIDBAC,1
SIDABD,1
SIDADB,1
SIDADA,1
SIDADC,1
SIDACD,1
SIDACC,1
SICBDB,6
SICBDA,6
SICBCB,1
SGDCAB,3
SIDAAC,2
RIAAAD,4
QIADAD,9
QIADCB,9
QIADCD,8
QICBAB,6
QICBDA,8
QICBDC,8
QICDBA,8
QICDBC,6
QICDBD,6
QICDDB,6
OJAADD,8
OJACBB,8
OJACBD,8
OJACDB,8
OJADCA,12
RIAACC,3
RIAAAB,6
SICBBD,3
RIAAAA,6
SICACD,8
SICACC,6
SICCAA,6
SHDDBB,6
SHDDBD,6
SHDDDB,6
SICCCA,6
SICCCC,6
OJADCC,14
OJADAC,2
OJADAD,4
OJADBC,4
OJADBA,2
OJADBB,2
OJADCB,2
OJACDD,2
SGDCBB,4
SGDDAA,1
RHBDBB,2
NKABCA,4
NJBBBB,4
NJBBBA,4
OJDDDC,4
OJDDCD,7
OJDDCC,6
OJDDCA,4
OJDCDB,6
OJDCDA,4
OJDCBC,6
OJDCAD,6
OJDCAC,6
OJDCAA,6
OJCDBB,6
OJCDBA,6
OJCBDC,6
OJCBCD,6
OJCBCB,6
OJCBAC,6
NKABCC,4
NKABCD,4
NKADBB,7
NKCBDA,2
NKCCDA,4
NKCCBC,3
NKCCBD,3
NKCDAC,3
NKCDAD,3
NKCDBC,3
NKCDBA,3
NKCBDC,2
NKCBDB,2
NKADBD,6
NKCBBD,2
NKDAAC,2
NKDAAA,3
NKDAAB,2
NKBCCD,3
NKBCDC,5
NKBCCB,5
NKBCAC,7
OJCBAA,6
PIBBCC,6
PIBADD,6
PIBADB,6
PIBADA,6
PIBABC,2
PIBAAD,6
PIBAAC,6
PIBAAA,6
QICDDD,4
PIBDAD,6
PIBDBC,6
PIBDDA,6
PJCCCB,6
OJAADB,4
OJAABC,4
OJAABA,4
PJCCDC,6
PJCCCD,6
PJCCAD,6
PIBDDB,6
PJCCAB,6
PJCACD,6
PJCACB,6
PJCAAD,6
PJCAAC,6
PJCAAA,6
PJACCC,6
PIBDDD,6
NKCCDC,6
NKBCCA,1
SHADBA,8
SGBCCB,8
SGBCDA,8
SGDCBD,2
SIDBCC,1
SIDCBB,1
FHBAAB,1
GHCBAB,1
HHCDAD,1
IHDCDC,1
LJAAAD,1
LJAACD,1
LJAACC,1
LJACAA,1
LJACAC,1
LJACCA,1
LIBDDB,1
LIBDDD,1
LIDBBB,1
LIDBBA,1
LIDBBC,1
LIDBDA,1
LIDBDC,1
LIDDBA,1
LIDDAB,1
LIDDAD,1
LIDDCB,1
LIDDCD,1
LIDDCC,1
KIBBAA,1
KIBBAC,1
KIBABD,1
KIBADB,1
KIBADC,1
LJAACB,1
LJAABC,1
KIBCAB,1
LJAABA,1
NKBCDA,3
NKBCDD,3
NKDABB,3
NKDADB,1
NKDADD,1
NKDCDB,1
NKDCDC,1
MKBAAD,1
MKBAAC,1
MKABCD,1
MKABCC,1
MJBDDB,1
MJBDDA,1
MJDAAC,1
MJCBCD,1
MJCBCC,1
MJCDAA,1
MJCDAC,1
MJCCBD,1
MJCCDB,1
MJCCDD,1
MJCCDC,1
KIBCBA,1
KIBCAD,1
IHDCDA,1
JICCBB,1
JICCDB,1
JICCDA,1
JICCDC,1
IIAABA,1
IIAABC,1
IIAACB,1
IIAACD,1
IIACAB,1
IIACAD,1
IIACAC,1
IIACCA,1
IIACCC,1
IHBDDD,1
IHDBBB,1
IHDBBA,1
IHDBBC,1
IHDBDA,1
IHDBCB,1
IHDBCD,1
IHDBCC,1
IHDDAA,1
IHDCBD,1
IHDCDB,1
JICCBD,1
JICADD,1
KIBCAC,1
JICBCA,1
KIBCCA,1
KIADDD,1
KICBBB,1
KICBBA,1
KICBBC,1
KICBDA,1
KICBCB,1
KICBCD,1
KICDAB,1
KICDAD,1
KICDCB,1
KICDCD,1
JIABAB,1
JIABAA,1
JIABAC,1
JIABCA,1
JIABCC,1
JIADAA,1
JIADAC,1
JIADCA,1
JIADCC,1
JICBAA,1
JICBAC,1
JSACAA,3
JSACAB,3
JSACAD,3
JSACAC,3
JSACCA,3
JSAACC,2
JSAACD,2
JRBBCD,1
LPCCDD,1
KQABCC,1
KQAADD,1
KPBBDA,1
KPBBBC,1
KPBABD,1
KPBABA,1
KPABBB,1
LPCDDD,1
LPCDDC,1
LPCDCD,1
LPCDCC,1
LPCCDC,1
JRBBCC,1
LPCCDA,1
LPCCCB,1
LPCCCA,1
LODDDB,1
LODDDA,1
LODDCB,1
LODDCA,1
LODCDB,1
LODCDA,1
LODCCB,1
LODCCA,1
KQADAA,1
KQADAB,1
KQADBA,1
KQADBC,1
JRBADD,1
JRBADC,1
JRBACD,1
JRABDA,1
JRABCB,1
JRABAD,1
JRABBA,1
KRCDAD,1
KRCDAB,1
KRCDAA,1
KRCCBB,1
KRCADC,1
KRCACA,1
KQDBBD,1
KQDBBC,1
KQDBBA,1
KQBCDD,1
KQBCDC,1
KQBCDA,1
KQBCCB,1
KQBCCA,1
KQBCAC,1
KQADBD,1
LOCDBD,1
LNCAAC,1
LNCAAA,1
MLCCDA,1
MLCCDB,1
MLCCDD,1
MLCDCC,1
MLCDCD,1
MLCDDC,1
LLBABC,1
LLBABD,1
LLBBDD,1
LMAACC,1
LMACBA,1
LMACBB,1
LMADAA,1
LMADAB,1
LMADBA,1
LMADBC,1
LMADBD,1
LMBCAC,1
LMBCAD,1
LMBCDA,1
LMBCDB,1
LMBDCA,1
LMBDCC,1
LMBDCD,1
LMBDDC,1
LMDBBA,1
LMDBBB,1
MLCCBC,3
QICBBC,2
QIADAB,5
QIABCD,5
QIABCC,5
RHDBBD,2
RHDBDD,3
RICACC,3
RICCAA,3
RICCCB,3
RICCCD,3
RICCDC,3
QIAABA,3
QIAABC,3
QIAABD,5
QIAADB,5
QIABCA,5
MLCCBA,2
MLAAAA,2
NKDBAA,2
NKDBAD,2
NKDBCB,2
NKDBDA,2
NKDDBD,2
NKDDDD,2
MKBBBB,2
MLAACA,2
MLAACC,2
MLAACD,2
MLACAB,2
MLACAD,2
MLACCB,2
MLACCD,2
MLCAAB,2
MLCAAA,2
MLCAAC,2
MLCAAD,2
MLCACB,2
MLCACD,2
MLCCAB,2
NKADBA,2
OJCBAD,4
OJAADA,2
NKABDC,4
NKAADB,4
SGDCBC,7
SGDCAD,3
SGDCCB,1
SGDCCA,1
SGCDBD,1
SGCDDB,5
SGCDDA,2
SGCDDC,1
SICACB,1
SHDBBD,1
SHADDC,1
SICABB,2
SIACDC,1
SGDDDC,1
SGDCDB,5
SGDDCA,1
SGDDCB,1
SGDDDA,1
SGDDCD,1
RGBCBD,1
RGBBAB,1
RGBBBA,1
RGBBBC,1
RGBBDA,1
RGBBDC,1
RGBBCD,1
RGBDAB,1
RGBDAA,1
RGBDAC,1
SGCCBA,4
SGCCAB,4
SGCCAD,4
SGCCAC,3
SFDDBB,2
SGCCBD,8
SGDBAC,6
NKAADA,2
RHBBDD,1
RICCAC,1
THCBDB,3
THDACA,2
THDDAD,1
SHBBCC,1
SHBBCD,1
SHBBCB,1
SHBBAC,1
SHBBAA,1
THDDCC,1
THDDCD,1
THDDCB,1
THDCBD,1
THDDAC,1
SHBCBB,1
THDCBB,1
THDCBA,1
THDCAB,1
THDCAA,1
THDACC,1
THCBDA,1
SHBDAA,1
SHBCBD,4
SHADDA,3
THCBBD,3
SHBCCA,2
SHADDB,2
SGDBCC,4
SGDCDA,4
SGDCDD,2
TKDCDD,2
SKABAB,2
TJDDDD,2
SJBBAA,2
SJBABA,2
SJBAAC,2
TJCDCD,2
TIDDBB,2
TIDACA,2
TICCBC,2
THDCDC,2
SHADBB,2
TKDDCC,2
TKDDCB,1
TKDDAD,1
TKDDAB,4
TKDDBA,4
TKDBDC,3
TKDBDD,5
TLCACC,4
TKDBDB,1
TLCACA,6
TLCAAC,3
TLBDAC,1
TLBDCA,1
QIBAAB,4
QIBBAB,2
QIBBAA,2
QIBABB,2
QIBABA,2
QIBAAA,2
PPADBD,5
PPBCAC,4
PPADBB,2
PPADDB,2
PPADDA,1
RFABBD,2
RJADAC,1
RJADAD,1
RJADBC,1
RJADBA,4
RJACBD,2
RJACBC,4
RJADAB,1
RJADAA,1
RJACBB,1
RJACDA,2
RJACDB,2
SGCDAC,1
SGCDAD,1
JVADDD,7
JWCACA,1
JVDBCD,2
JVDABD,2
JVDABC,2
JVDABA,2
JVDAAB,2
JVBCCD,2
JVBCCC,4
JVADDB,2
JVADDC,2
MNAACD,1
MMABDB,1
NLDDDA,1
NLDCAA,1
NLCBDC,1
NLCBCD,1
NLCADB,1
NLACCD,1
NKBDAB,1
NKBABB,1
OKDCAC,1
OKCCBA,1
OJDABD,1
OJBCDC,1
PJADBB,1
QJCDAD,1
QJCABA,1
QJABCC,1
RJCDCA,1
RIDDBA,1
RICBDC,1
RHDBDB,1
RHBDDC,1
RHBADA,1
SGDBAB,2
SGDBBA,2
SGDBBB,2
SGDBBD,2
SHCAAC,2
SHCAAD,3
SHBBDA,1
SFCDBA,1
SFCCCB,1
SFCCCC,2
RFAAAA,3
REBBBB,1
RFAABA,1
RFAABB,1
SFCCDD,1
SFCDCC,1
RFABAA,1
RFABAB,1
RFABAD,1
RFABBC,1
RFABDA,1
RFABDB,1
SHBDAC,3
SHBCDD,1
SIAAAB,6
SIAAAA,2
SHBDAB,2
SHBDAD,2
SHADCC,2
SIACAC,2
SIACCA,1
SFDDCC,2
SFDCCA,2
SFDCCB,2
SFDCCD,2
SFDCDC,2
RFBABA,2
RFBBAA,2
SFDDCD,2
SFDDCB,2
SFDDDA,2
SFDDDB,2
SGCCCA,2
SFCDDB,2
