pair,F2,S1,S2,lF,PF
"('UKCADCA', 'UKCADCC')",N,,,,7
"('UKCADCC', 'UKCADCD')",N,,,,8
"('UKCADCD', 'UKCCBAB')",N,,,,9
"('UKCCBAB', 'UKCCBAA')",N,,,,9
"('UKCCBAA', 'UKCCBAC')",N,,,,9
"('UKCCBAC', 'UKCCBCA')",N,,,,9
"('UKCCBCA', 'UKCCBCC')",N,,,,4
"('UKCCBCC', 'UKCCDAA')",N,,,,4
"('UKCCDAA', 'UKCCDAC')",N,,,,3
"('UKCCDAC', 'UKCCDCA')",AN,,,,1
"('UKCCDCA', 'UKCCDCC')",AN,,,,1
"('UKCCDCC', 'UKCCCDD')",AN,,,,1
"('UKCCCDD', 'UKCCCDB')",AN,,,,1
"('UKCCCDB', 'UKCCCDA')",AN,,,,1
"('UKCCCDA', 'UKCCCDC')",AN,,,,2
"('UKCCCDC', 'TKAAABA')",N,,,,3
"('TKAAABA', 'TKAAABC')",N,,,,3
"('TKAAABC', 'TKAAADA')",N,,,,3
"('TKAAADA', 'TKAAADC')",N,,,,3
"('TKAAADC', 'TKAACBA')",N,,,,3
"('TKAACBA', 'TKAACBC')",N,,,,3
"('TKAACBC', 'TKAACDA')",N,,,,3
"('TKAACDA', 'TKAACDC')",N,,,,3
"('TKAACDC', 'TKACABA')",N,,,,3
"('TKACABA', 'TKACABC')",N,,,,3
"('TKACABC', 'TKACADA')",N,,,,3
"('TKACADA', 'TKACADC')",N,,,,3
"('TKACADC', 'TKACCBA')",AN,,,,2
"('TKACCBA', 'TKACCBC')",AN,,,,2
"('TKACCBC', 'TKACCDA')",AN,,,,2
"('TKACCDA', 'TKACCDC')",AN,,,,2
"('TKACCDC', 'TKCAABA')",AN,,,,2
"('TKCAABA', 'TKCAABC')",AN,,,,2
"('TKCAABC', 'TKCAABD')",AN,,,,2
"('TKCAABD', 'TKCAABC')",N,,,,4
"('TKCAABC', 'TKCAABD')",AN,,,,2
"('TKCAABD', 'TKCAADB')",AN,,,,2
"('TKCAADB', 'TKCAADA')",AN,,,,2
"('TKCAADA', 'TKCAADC')",AN,,,,2
"('TKCAADC', 'TKCACAB')",AN,,,,0
"('TKCACAB', 'TKCACAD')",AN,,,,0
"('TKCACAD', 'TKCACCB')",AN,,,,0
"('TKCACCB', 'TKCACCD')",AN,,,,0
"('TKCACCD', 'TKCCAAB')",AN,,,,0
"('TKCCAAB', 'TKCCAAD')",AN,,,,0
"('TKCCAAD', 'TKCCACB')",AN,,,,0
"('TKCCACB', 'TKCCACD')",AN,,,,0
"('TKCCACD', 'TKCCACC')",AN,,,,0
"('TKCCACC', 'TKCCCAA')",AN,,,,0
"('TKCCCAA', 'TKCCCAC')",AN,,,,0
"('TKCCCAC', 'TKCCCAD')",AN,,,,0
"('TKCCCAD', 'TKCCCCB')",AN,,,,0
"('TKCCCCB', 'TKCCCDA')",AN,,,,0
"('TKCCCDA', 'TKCCCDC')",AN,,,,0
"('TKCCCDC', 'TKCCCDD')",AN,,,,0
"('TKCCCDD', 'SKAAABB')",AN,,,,0
"('SKAAABB', 'SKAABAC')",AN,,,,0
"('SKAABAC', 'SKAABCA')",AN,,,,0
"('SKAABCA', 'SKAABCC')",AN,,,,0
"('SKAABCC', 'SKAABCD')",AN,,,,0
"('SKAABCD', 'SKAADAB')",AN,,,,0
"('SKAADAB', 'SKAADAD')",AN,,,,0
"('SKAADAD', 'SKAADBC')",AN,,,,0
"('SKAADBC', 'SKAADDA')",AN,,,,0
"('SKAADDA', 'SKAADDC')",AN,,,,0
"('SKAADDC', 'SKACBBA')",AN,,,,0
"('SKACBBA', 'SKACBBC')",AN,,,,0
"('SKACBBC', 'SKACBBD')",AN,,,,0
"('SKACBBD', 'SKADA')",AN,,,,0
"('SKADA', 'SKADCB')",AN,,,,0
"('SKADCB', 'SKADD')",AN,,,,0
"('SKADD', 'SKBCCCC')",AN,,,,0
"('SKBCCCC', 'SKDAAAA')",AN,,,,0
"('SKDAAAA', 'SKDAAAB')",AN,,,,0
"('SKDAAAB', 'SKDAABA')",AN,,,,0
"('SKDAABA', 'SKDAABC')",AN,,,,0
"('SKDAABC', 'SKDAAAD')",AN,,,,0
"('SKDAAAD', 'SKDAACB')",AN,,,,0
"('SKDAACB', 'SKDAACD')",AN,,,,0
"('SKDAACD', 'SKDACAB')",AN,,,,0
"('SKDACAB', 'SKDACAD')",AN,,,,0
"('SKDACAD', 'SKDACAC')",AN,,,,0
"('SKDACAC', 'SKDACCA')",AN,,,,0
"('SKDACCA', 'SKDACCC')",AN,,,,0
"('SKDACCC', 'SKCBDDD')",AN,,,,0
"('SKCBDDD', 'SKCDB')",AN,,,,0
"('SKCDB', 'SKCDD')",AN,,,,0
"('SKCDD', 'SKCDCDB')",AN,,,,0
"('SKCDCDB', 'SKCDCDD')",AN,,,,0
"('SKCDCDD', 'SKCDCDC')",AN,,,,0
"('SKCDCDC', 'RKABABA')",AN,,,,0
"('RKABABA', 'RKABABC')",AN,,,,0
"('RKABABC', 'RKABAAD')",AN,,,,0
"('RKABAAD', 'RKABACB')",AN,,,,0
"('RKABACB', 'RKABACA')",AN,,,,1
"('RKABACA', 'RKABACC')",AN,,,,0
"('RKABACC', 'RKABACD')",AN,,,,0
"('RKABACD', 'RKABCAB')",AN,,,,1
"('RKABCAB', 'RKABADC')",AN,,,,0
"('RKABADC', 'RKABCBA')",AN,,,,2
"('RKABCBA', 'RKABADC')",AN,,,,2
"('RKABADC', 'RKABCBA')",AN,,,,2
