label,pair,lF,PF,F1,F2,S1,S2,,,,,,,,,,,,,,,,,,,
TKAACDC,"('TKAACDA', 'TKAACDC')",9,3,N,N,AN,N,,,,,,,,,,,,,,,,,,,
TKACABA,"('TKAACDC', 'TKACABA')",9,3,N,N,AN,N,,,,,,,,,,,,,,,,,,,
TKACABC,"('TKACABA', 'TKACABC')",9,3,N,N,AN,N,,,,,,,,,,,,,,,,,,,
TKACADA,"('TKACABC', 'TKACADA')",9,3,N,N,AN,N,,,,,,,,,,,,,,,,,,,
TKACADC,"('TKACADA', 'TKACADC')",8,3,N,N,AN,N,,,,,,,,,,,,,,,,,,,
TKACCBA,"('TKACADC', 'TKACCBA')",6,2,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
TKACCBC,"('TKACCBA', 'TKACCBC')",6,2,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
TKACCDA,"('TKACCBC', 'TKACCDA')",6,2,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
TKACCDC,"('TKACCDA', 'TKACCDC')",6,2,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
TKCAABA,"('TKACCDC', 'TKCAABA')",6,2,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
TKCAABC,"('TKCAABA', 'TKCAABC')",7,2,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
TKCAABD,"('TKCAABC', 'TKCAABD')",6,2,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
TKCAABC,"('TKCAABD', 'TKCAABC')",7,4,N,N,AN,N,,,,,,,,,,,,,,,,,,,
TKCAABD,"('TKCAABC', 'TKCAABD')",6,2,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
TKCAADB,"('TKCAABD', 'TKCAADB')",6,2,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
TKCAADA,"('TKCAADB', 'TKCAADA')",6,2,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
TKCAADC,"('TKCAADA', 'TKCAADC')",6,2,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
TKCACAB,"('TKCAADC', 'TKCACAB')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
TKCACAD,"('TKCACAB', 'TKCACAD')",2,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
TKCACCB,"('TKCACAD', 'TKCACCB')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
TKCACCD,"('TKCACCB', 'TKCACCD')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
TKCCAAB,"('TKCACCD', 'TKCCAAB')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
TKCCAAD,"('TKCCAAB', 'TKCCAAD')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
TKCCACB,"('TKCCAAD', 'TKCCACB')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
TKCCACD,"('TKCCACB', 'TKCCACD')",2,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
TKCCACC,"('TKCCACD', 'TKCCACC')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
TKCCCAA,"('TKCCACC', 'TKCCCAA')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
TKCCCAC,"('TKCCCAA', 'TKCCCAC')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
TKCCCAD,"('TKCCCAC', 'TKCCCAD')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
TKCCCCB,"('TKCCCAD', 'TKCCCCB')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
TKCCCDA,"('TKCCCCB', 'TKCCCDA')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
TKCCCDC,"('TKCCCDA', 'TKCCCDC')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
TKCCCDD,"('TKCCCDC', 'TKCCCDD')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKAAABB,"('TKCCCDD', 'SKAAABB')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKAABAC,"('SKAAABB', 'SKAABAC')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKAABCA,"('SKAABAC', 'SKAABCA')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKAABCC,"('SKAABCA', 'SKAABCC')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKAABCD,"('SKAABCC', 'SKAABCD')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKAADAB,"('SKAABCD', 'SKAADAB')",5,0,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
SKAADAD,"('SKAADAB', 'SKAADAD')",3,0,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
SKAADBC,"('SKAADAD', 'SKAADBC')",3,0,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
SKAADDA,"('SKAADBC', 'SKAADDA')",3,0,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
SKAADDC,"('SKAADDA', 'SKAADDC')",3,0,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
